Time,Well 101,Well 102,Well 103,Well 104,Well 105,Well 106,Well 107,Well 108,Well 109,Well 110,Well 111,Well 112,Well 113,Well 114,Well 115,BLANK
0:00:04,0.261,0.264,0.244,0.242,0.241,0.248,0.24,0.233,0.249,0.254,0.246,0.249,0.251,0.248,0.236,0.171
0:30:05,0.229,0.229,0.223,0.227,0.227,0.229,0.236,0.233,0.228,0.223,0.222,0.225,0.23,0.223,0.229,0.165
1:00:05,0.224,0.224,0.216,0.219,0.219,0.222,0.224,0.223,0.219,0.216,0.217,0.218,0.222,0.216,0.219,0.166
1:30:05,0.224,0.222,0.213,0.215,0.214,0.217,0.221,0.218,0.216,0.216,0.217,0.23,0.218,0.213,0.217,0.165
2:00:05,0.223,0.22,0.21,0.213,0.212,0.216,0.219,0.217,0.212,0.216,0.214,0.218,0.219,0.216,0.217,0.169
2:30:05,0.225,0.221,0.21,0.212,0.21,0.216,0.217,0.214,0.214,0.217,0.215,0.221,0.218,0.213,0.227,0.166
3:00:05,0.224,0.219,0.21,0.212,0.211,0.218,0.216,0.215,0.213,0.216,0.216,0.215,0.215,0.235,0.214,0.168
3:30:05,0.224,0.223,0.211,0.218,0.213,0.217,0.215,0.214,0.214,0.219,0.219,0.219,0.215,0.21,0.213,0.168
4:00:05,0.222,0.222,0.211,0.214,0.217,0.217,0.217,0.212,0.214,0.217,0.226,0.223,0.233,0.21,0.213,0.168
4:30:05,0.222,0.223,0.212,0.213,0.217,0.217,0.216,0.212,0.216,0.218,0.228,0.217,0.215,0.21,0.211,0.169
5:00:05,0.234,0.226,0.215,0.216,0.213,0.218,0.216,0.213,0.218,0.218,0.236,0.219,0.213,0.231,0.212,0.168
5:30:05,0.235,0.229,0.218,0.219,0.212,0.219,0.221,0.214,0.222,0.219,0.214,0.212,0.215,0.209,0.223,0.167
6:00:05,0.239,0.233,0.223,0.224,0.209,0.22,0.225,0.214,0.227,0.219,0.215,0.21,0.216,0.21,0.21,0.168
6:30:05,0.241,0.239,0.227,0.229,0.21,0.223,0.231,0.215,0.235,0.221,0.215,0.211,0.216,0.211,0.21,0.169
7:00:05,0.242,0.247,0.234,0.238,0.226,0.227,0.239,0.218,0.242,0.226,0.215,0.215,0.22,0.211,0.211,0.168
7:30:05,0.243,0.257,0.245,0.248,0.208,0.229,0.25,0.222,0.255,0.227,0.215,0.223,0.22,0.212,0.212,0.167
8:00:05,0.242,0.27,0.258,0.262,0.207,0.234,0.264,0.224,0.271,0.23,0.216,0.209,0.222,0.214,0.208,0.169
8:30:05,0.243,0.288,0.276,0.279,0.209,0.242,0.285,0.23,0.293,0.234,0.216,0.209,0.228,0.217,0.208,0.166
9:00:05,0.245,0.312,0.3,0.306,0.208,0.252,0.31,0.239,0.321,0.241,0.216,0.208,0.23,0.222,0.209,0.168
9:30:05,0.246,0.343,0.332,0.337,0.21,0.266,0.343,0.249,0.358,0.249,0.216,0.21,0.236,0.227,0.208,0.166
10:00:05,0.247,0.387,0.377,0.38,0.21,0.286,0.388,0.264,0.408,0.261,0.215,0.209,0.245,0.233,0.21,0.167
10:30:05,0.25,0.44,0.431,0.434,0.212,0.312,0.445,0.284,0.468,0.275,0.216,0.21,0.256,0.243,0.209,0.169
11:00:05,0.251,0.509,0.5,0.501,0.213,0.344,0.516,0.31,0.547,0.296,0.217,0.21,0.272,0.257,0.211,0.167
11:30:05,0.255,0.593,0.585,0.584,0.214,0.383,0.602,0.344,0.636,0.321,0.216,0.211,0.288,0.274,0.211,0.167
12:00:05,0.26,0.691,0.686,0.685,0.217,0.44,0.701,0.388,0.74,0.357,0.217,0.214,0.316,0.294,0.215,0.167
12:30:05,0.264,0.794,0.79,0.787,0.221,0.507,0.798,0.441,0.846,0.401,0.216,0.217,0.345,0.322,0.214,0.168
13:00:05,0.276,0.911,0.908,0.902,0.22,0.59,0.912,0.513,0.969,0.455,0.217,0.221,0.392,0.365,0.22,0.166
13:30:05,0.288,1.032,1.03,1.024,0.226,0.686,1.036,0.598,1.088,0.529,0.217,0.228,0.445,0.412,0.226,0.167
14:00:05,0.305,1.143,1.141,1.139,0.235,0.787,1.153,0.691,1.191,0.607,0.216,0.233,0.51,0.472,0.23,0.166
14:30:05,0.327,1.227,1.215,1.225,0.246,0.902,1.235,0.79,1.24,0.71,0.216,0.246,0.592,0.55,0.235,0.168
15:00:05,0.354,1.236,1.223,1.238,0.259,1.02,1.244,0.905,1.246,0.809,0.214,0.258,0.691,0.639,0.244,0.166
15:30:06,0.392,1.243,1.231,1.248,0.279,1.135,1.252,1.02,1.254,0.921,0.218,0.275,0.792,0.739,0.257,0.167
16:00:05,0.44,1.252,1.242,1.258,0.301,1.217,1.264,1.137,1.266,1.038,0.217,0.296,0.905,0.842,0.273,0.167
16:30:05,0.499,1.26,1.25,1.266,0.333,1.231,1.272,1.219,1.276,1.147,0.217,0.322,1.028,0.961,0.293,0.168
17:00:05,0.572,1.272,1.262,1.278,0.372,1.238,1.284,1.225,1.288,1.215,0.216,0.356,1.147,1.082,0.322,0.168
17:30:05,0.658,1.286,1.276,1.292,0.421,1.245,1.298,1.233,1.306,1.223,0.216,0.402,1.239,1.191,0.354,0.166
18:00:05,0.758,1.304,1.292,1.308,0.487,1.254,1.314,1.242,1.32,1.231,0.217,0.459,1.254,1.241,0.401,0.168
18:30:05,0.86,1.322,1.312,1.324,0.566,1.266,1.332,1.25,1.343,1.239,0.217,0.528,1.264,1.25,0.458,0.167
19:00:05,0.967,1.338,1.332,1.346,0.658,1.28,1.351,1.26,1.362,1.246,0.218,0.608,1.272,1.256,0.522,0.169
19:30:05,1.078,1.359,1.351,1.363,0.762,1.296,1.371,1.274,1.379,1.252,0.219,0.702,1.282,1.264,0.602,0.169
20:00:05,1.177,1.375,1.37,1.381,0.867,1.314,1.389,1.29,1.399,1.264,0.219,0.795,1.292,1.274,0.695,0.168
20:30:05,1.219,1.393,1.387,1.397,0.979,1.33,1.407,1.306,1.419,1.276,0.22,0.907,1.304,1.28,0.798,0.168
21:00:05,1.223,1.411,1.405,1.413,1.096,1.347,1.423,1.324,1.433,1.296,0.223,1.02,1.32,1.298,0.896,0.168
21:30:05,1.223,1.429,1.423,1.429,1.193,1.368,1.441,1.346,1.451,1.314,0.226,1.135,1.338,1.312,1.014,0.166
22:00:05,1.229,1.443,1.435,1.445,1.223,1.383,1.457,1.362,1.465,1.33,0.229,1.231,1.356,1.33,1.147,0.17
22:30:05,1.231,1.461,1.451,1.457,1.225,1.399,1.474,1.381,1.482,1.352,0.234,1.247,1.379,1.35,1.236,0.166
23:00:05,1.238,1.473,1.467,1.474,1.233,1.415,1.49,1.399,1.497,1.369,0.24,1.25,1.399,1.368,1.248,0.165
23:30:05,1.243,1.49,1.482,1.488,1.235,1.431,1.504,1.415,1.512,1.385,0.248,1.254,1.419,1.389,1.252,0.166
