Time,Well 101,Well 102,Well 103,Well 104,Well 105,Well 106,Well 107,Well 108,Well 109,Well 110,Well 111,Well 112,Well 113,Well 114,Well 115,Well 116,Well 117,Well 118,Well 119,Well 120,Well 121,Well 122,Well 123,Well 124,Well 125,Well 126,Well 127,Well 128,Well 129,Well 130,BLANK
0:00:04,0.261,0.264,0.244,0.242,0.241,0.248,0.24,0.233,0.249,0.254,0.246,0.249,0.251,0.248,0.236,0.206,0.211,0.218,0.227,0.24,0.239,0.211,0.206,0.224,0.178,0.181,0.173,0.226,0.213,0.229,0.163
0:30:05,0.229,0.229,0.223,0.227,0.227,0.229,0.236,0.233,0.228,0.223,0.222,0.225,0.23,0.223,0.229,0.219,0.223,0.219,0.22,0.214,0.233,0.203,0.207,0.221,0.179,0.181,0.181,0.225,0.222,0.211,0.159
1:00:05,0.224,0.224,0.216,0.219,0.219,0.222,0.224,0.223,0.219,0.216,0.217,0.218,0.222,0.216,0.219,0.209,0.216,0.207,0.217,0.211,0.229,0.196,0.199,0.211,0.175,0.176,0.176,0.215,0.213,0.205,0.16
1:30:05,0.224,0.222,0.213,0.215,0.214,0.217,0.221,0.218,0.216,0.216,0.217,0.23,0.218,0.213,0.217,0.205,0.206,0.204,0.219,0.209,0.225,0.193,0.193,0.207,0.173,0.175,0.173,0.212,0.214,0.205,0.161
2:00:05,0.223,0.22,0.21,0.213,0.212,0.216,0.219,0.217,0.212,0.216,0.214,0.218,0.219,0.216,0.217,0.203,0.203,0.203,0.233,0.209,0.224,0.19,0.192,0.206,0.171,0.174,0.173,0.209,0.211,0.203,0.16
2:30:05,0.225,0.221,0.21,0.212,0.21,0.216,0.217,0.214,0.214,0.217,0.215,0.221,0.218,0.213,0.227,0.2,0.201,0.201,0.217,0.208,0.223,0.195,0.2,0.218,0.171,0.173,0.173,0.218,0.211,0.204,0.16
3:00:05,0.224,0.219,0.21,0.212,0.211,0.218,0.216,0.215,0.213,0.216,0.216,0.215,0.215,0.235,0.214,0.2,0.198,0.2,0.217,0.21,0.223,0.189,0.192,0.209,0.171,0.173,0.172,0.212,0.21,0.205,0.161
3:30:05,0.224,0.223,0.211,0.218,0.213,0.217,0.215,0.214,0.214,0.219,0.219,0.219,0.215,0.21,0.213,0.199,0.195,0.199,0.218,0.209,0.223,0.189,0.194,0.206,0.171,0.173,0.171,0.207,0.208,0.203,0.161
4:00:05,0.222,0.222,0.211,0.214,0.217,0.217,0.217,0.212,0.214,0.217,0.226,0.223,0.233,0.21,0.213,0.198,0.195,0.199,0.232,0.208,0.222,0.198,0.19,0.209,0.17,0.172,0.171,0.208,0.21,0.208,0.161
4:30:05,0.222,0.223,0.212,0.213,0.217,0.217,0.216,0.212,0.216,0.218,0.228,0.217,0.215,0.21,0.211,0.197,0.195,0.198,0.237,0.209,0.226,0.195,0.192,0.204,0.172,0.173,0.171,0.211,0.214,0.209,0.162
5:00:05,0.234,0.226,0.215,0.216,0.213,0.218,0.216,0.213,0.218,0.218,0.236,0.219,0.213,0.231,0.212,0.196,0.194,0.197,0.237,0.211,0.229,0.2,0.194,0.205,0.172,0.173,0.172,0.23,0.232,0.216,0.16
5:30:05,0.235,0.229,0.218,0.219,0.212,0.219,0.221,0.214,0.222,0.219,0.214,0.212,0.215,0.209,0.223,0.198,0.195,0.199,0.223,0.209,0.232,0.196,0.189,0.205,0.173,0.174,0.173,0.208,0.21,0.205,0.16
6:00:05,0.239,0.233,0.223,0.224,0.209,0.22,0.225,0.214,0.227,0.219,0.215,0.21,0.216,0.21,0.21,0.197,0.195,0.2,0.22,0.21,0.237,0.187,0.185,0.2,0.175,0.175,0.174,0.205,0.207,0.202,0.158
6:30:05,0.241,0.239,0.227,0.229,0.21,0.223,0.231,0.215,0.235,0.221,0.215,0.211,0.216,0.211,0.21,0.199,0.194,0.201,0.231,0.211,0.243,0.188,0.186,0.201,0.176,0.177,0.177,0.205,0.207,0.204,0.161
7:00:05,0.242,0.247,0.234,0.238,0.226,0.227,0.239,0.218,0.242,0.226,0.215,0.215,0.22,0.211,0.211,0.2,0.196,0.201,0.225,0.211,0.251,0.187,0.184,0.206,0.179,0.179,0.18,0.208,0.209,0.204,0.161
7:30:05,0.243,0.257,0.245,0.248,0.208,0.229,0.25,0.222,0.255,0.227,0.215,0.223,0.22,0.212,0.212,0.202,0.198,0.2,0.224,0.213,0.266,0.189,0.184,0.2,0.183,0.183,0.184,0.204,0.216,0.204,0.16
8:00:05,0.242,0.27,0.258,0.262,0.207,0.234,0.264,0.224,0.271,0.23,0.216,0.209,0.222,0.214,0.208,0.205,0.202,0.201,0.219,0.214,0.282,0.192,0.184,0.201,0.188,0.186,0.188,0.204,0.207,0.204,0.161
8:30:05,0.243,0.288,0.276,0.279,0.209,0.242,0.285,0.23,0.293,0.234,0.216,0.209,0.228,0.217,0.208,0.209,0.204,0.204,0.217,0.216,0.302,0.19,0.183,0.201,0.196,0.193,0.195,0.203,0.204,0.203,0.162
9:00:05,0.245,0.312,0.3,0.306,0.208,0.252,0.31,0.239,0.321,0.241,0.216,0.208,0.23,0.222,0.209,0.214,0.208,0.205,0.218,0.218,0.332,0.192,0.184,0.204,0.204,0.2,0.203,0.209,0.206,0.203,0.162
9:30:05,0.246,0.343,0.332,0.337,0.21,0.266,0.343,0.249,0.358,0.249,0.216,0.21,0.236,0.227,0.208,0.219,0.215,0.208,0.218,0.221,0.369,0.195,0.185,0.205,0.214,0.209,0.212,0.204,0.206,0.204,0.162
10:00:05,0.247,0.387,0.377,0.38,0.21,0.286,0.388,0.264,0.408,0.261,0.215,0.209,0.245,0.233,0.21,0.228,0.225,0.213,0.217,0.227,0.417,0.2,0.187,0.21,0.23,0.218,0.226,0.202,0.205,0.205,0.161
10:30:05,0.25,0.44,0.431,0.434,0.212,0.312,0.445,0.284,0.468,0.275,0.216,0.21,0.256,0.243,0.209,0.24,0.233,0.219,0.217,0.232,0.478,0.205,0.187,0.219,0.247,0.235,0.243,0.202,0.203,0.205,0.161
11:00:05,0.251,0.509,0.5,0.501,0.213,0.344,0.516,0.31,0.547,0.296,0.217,0.21,0.272,0.257,0.211,0.253,0.248,0.225,0.216,0.241,0.553,0.211,0.19,0.224,0.269,0.253,0.266,0.203,0.205,0.204,0.161
11:30:05,0.255,0.593,0.585,0.584,0.214,0.383,0.602,0.344,0.636,0.321,0.216,0.211,0.288,0.274,0.211,0.27,0.266,0.233,0.217,0.253,0.638,0.218,0.196,0.23,0.298,0.278,0.293,0.203,0.204,0.204,0.16
12:00:05,0.26,0.691,0.686,0.685,0.217,0.44,0.701,0.388,0.74,0.357,0.217,0.214,0.316,0.294,0.215,0.294,0.291,0.247,0.216,0.268,0.746,0.226,0.199,0.239,0.334,0.307,0.328,0.207,0.207,0.204,0.162
12:30:05,0.264,0.794,0.79,0.787,0.221,0.507,0.798,0.441,0.846,0.401,0.216,0.217,0.345,0.322,0.214,0.321,0.32,0.256,0.216,0.288,0.854,0.234,0.201,0.249,0.377,0.342,0.371,0.201,0.204,0.205,0.163
13:00:05,0.276,0.911,0.908,0.902,0.22,0.59,0.912,0.513,0.969,0.455,0.217,0.221,0.392,0.365,0.22,0.365,0.364,0.281,0.216,0.314,0.982,0.248,0.207,0.263,0.433,0.388,0.422,0.204,0.205,0.206,0.162
13:30:05,0.288,1.032,1.03,1.024,0.226,0.686,1.036,0.598,1.088,0.529,0.217,0.228,0.445,0.412,0.226,0.413,0.416,0.308,0.217,0.349,1.108,0.264,0.217,0.281,0.495,0.442,0.485,0.205,0.204,0.205,0.161
14:00:05,0.305,1.143,1.141,1.139,0.235,0.787,1.153,0.691,1.191,0.607,0.216,0.233,0.51,0.472,0.23,0.473,0.481,0.342,0.215,0.392,1.215,0.282,0.225,0.304,0.567,0.503,0.552,0.204,0.203,0.204,0.162
14:30:05,0.327,1.227,1.215,1.225,0.246,0.902,1.235,0.79,1.24,0.71,0.216,0.246,0.592,0.55,0.235,0.545,0.536,0.388,0.218,0.449,1.278,0.308,0.235,0.333,0.645,0.575,0.632,0.204,0.203,0.205,0.163
15:00:05,0.354,1.236,1.223,1.238,0.259,1.02,1.244,0.905,1.246,0.809,0.214,0.258,0.691,0.639,0.244,0.639,0.618,0.44,0.217,0.517,1.284,0.338,0.248,0.371,0.723,0.654,0.71,0.204,0.213,0.204,0.161
15:30:06,0.392,1.243,1.231,1.248,0.279,1.135,1.252,1.02,1.254,0.921,0.218,0.275,0.792,0.739,0.257,0.739,0.749,0.508,0.218,0.598,1.294,0.373,0.263,0.413,0.812,0.731,0.793,0.205,0.224,0.205,0.162
16:00:05,0.44,1.252,1.242,1.258,0.301,1.217,1.264,1.137,1.266,1.038,0.217,0.296,0.905,0.842,0.273,0.849,0.863,0.591,0.217,0.694,1.304,0.42,0.284,0.469,0.904,0.819,0.881,0.216,0.212,0.203,0.162
16:30:05,0.499,1.26,1.25,1.266,0.333,1.231,1.272,1.219,1.276,1.147,0.217,0.322,1.028,0.961,0.293,0.963,0.983,0.692,0.217,0.795,1.314,0.469,0.307,0.514,0.997,0.913,0.976,0.206,0.221,0.202,0.162
